date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:51:42	346/346	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20May%202018%2000:51:15%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/disc/2	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/disc/2	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:42	346/346	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20May%202018%2000:51:15%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/labs/1	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/labs/1	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:44	989/989	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20May%202018%2000:51:15%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/lec/02/	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/lec/02/index.html	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:45	350/350	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20May%202018%2000:51:18%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/projs/02-1	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/projs/02-1	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:48	989/989	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20May%202018%2000:51:21%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/lec/03/	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/lec/03/index.html	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:48	346/346	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20May%202018%2000:51:21%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/lec/06	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/lec/06	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:48	1194/1194	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20May%202018%2000:51:21%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/disc/1/	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/disc/1/index.html	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:48	30218/30218	---M-Z	200	added ('OK')	text/html	etag:%22760a-563609d95e546-gzip%22	https://inst.eecs.berkeley.edu/~cs61c/sp18/labs/0/	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/labs/0/index.html	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:49	346/346	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20May%202018%2000:51:22%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/lec/07	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/lec/07.19.delayed	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:49	346/346	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20May%202018%2000:51:22%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/disc/3	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/disc/3	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:51	12943/12943	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20May%202018%2000:51:22%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/projs/01/	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/projs/01/index.html	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:51	346/346	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20May%202018%2000:51:24%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/labs/2	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/labs/2	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:52	989/989	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20May%202018%2000:51:25%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/lec/04/	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/lec/04/index.html	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
